,country,description,designation,points,price,province,region_1,region_2,variety,winery
952,Italy,"Aromas of graphite, black currant, plum, cedar, blue flowers and tobacco emerge from this full-bodied red. Made with Cabernet Franc and a drop of Petit Verdot, the structured palate offers blackberries, licorice, clove and a toasted note alongside velvety tannins. It shows great finesse, especially for the torrid 2011 vintage. Drink 2016–2026.",Lodovico,95,419.0,Tuscany,Toscana,,Red Blend,Tenuta di Biserno
953,Portugal,"Juicy and fruity, this black currant-flavored wine is supported by some dry tannins. It's a wine for the medium-term with its hints of wood and a touch of more bitter extraction at the end.",Vinha da Tapada,85,11.0,Alentejano,,,Portuguese Red,Herdade dos Coelheiros
954,Chile,"Chill it and kill it, and you probably won't be disappointed. There isn't a lot of character to the nose, but the palate offers round melon and citrus flavors supported by pretty good acidity. It's a little sugary but sound and tropical. More than 200,000 cases produced, so it should be widely available.",120,84,8.0,Lontué Valley,,,Sauvignon Blanc,Santa Rita
955,Austria,"Gorgeous peach and apricot flavors give this round wine great richness, an almost tropical fruit character. But it never loses sight of its terroir, a steely edge coming through, with vibrant acidity and a final spice and berry fruit finish. Age for 4–5 years. Imported by Blue Danube Wine Co.",Dürnsteiner Freiheit Smaragd,94,42.0,Wachau,,,Riesling,Schmelz
956,France,"The 91-acre Grézels vineyard surrounds a 12th-century castle. This revived historic vineyard has produced a well-structured wine that is rich, despite its modest alcohol. It is dense with tannins and black fruits that are developing into a smoother texture. The wine needs to age further, so drink from 2017.",Château de Grézels Prestige,90,21.0,Southwest France,Cahors,,Malbec-Merlot,Château Saint-Didier-Parnac
957,France,"Attractive mint aromas lead to a wine that is now mature. It's black currant fruit is layered with spice, herb and a dry structure that is not going to soften. Ready to drink now in a firm, austere way.",,86,90.0,Bordeaux,Pauillac,,Bordeaux-style Red Blend,Château Haut de la Bécade
958,France,"Hard and unyielding for Viognier, with lemon and mineral elements that seem a bit out of character for the variety. Nevertheless, it's a crisp refreshing white for the summer.",Le Viognier,85,30.0,France Other,Vin de Pays des Portes de Méditerranée,,Viognier,Domaine Juliette Avril
959,US,"Chalk Line, a blend of 34% Cabernet Sauvignon, 31% Syrah, 19% Merlot and 16% Cabernet Franc, is a nice bottle, but hasn't quite knit together. Cranberry and wild cherry, chalk and earth, hints of stem and some rugged tannins all suggest that it needs additional bottle age to reach its peak.",Chalk Line Red,88,25.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Guardian Cellars
960,US,"Ouch. Tough, extremely dry, and acidic-tannic, this wine isn't showing much charm now. There's a suggestion of blackberry, bitter cherry and blueberry fruit, as well as lots of smoky oak. Nowhere near ready, and hard to predict. Try after 2008.",Jardine,84,26.0,California,Paso Robles,Central Coast,Petite Sirah,Vina Robles
961,US,"This Merlot-based blend also contains Cabernet Franc and a drop of Cabernet Sauvignon. It's user friendly, with soft, easy tannins framing ripe flavors of blackberry, raspberry, red licorice, mocha and spice. Ready to drink now.",,88,65.0,California,Napa Valley,Napa,Bordeaux-style Red Blend,Palazzo Wine
962,France,A light and fruity wine with attractive red fruits and acidity. There is just a touch of tannin to hold the friendly fruitiness together.,,85,16.0,Burgundy,Côte Chalonnaise,,Pinot Noir,Vignerons de Buxy
963,Germany,"Pretty floral and apricot aromas brighten savory apple notes on this dry, but intensely honeyed Riesling. Bright and brisk on the palate, with searing lime acidity, it finishes long, with a refreshing spray of green herbs.",Niersteiner Hipping vom Rottligenden  Spätlese Trocken,91,17.0,Rheinhessen,,,Riesling,Weingut Georg Albrecht Schneider
964,France,"Wood aromas dominate, but on the palate the toast element is showing good integration with the round, full, white and yellow stone fruit flavors. There is a crisp green apple acidity that comes through to finish, although the toast character stays as well. Imported by Robert Kacher Imports.",Le Limozin,90,66.0,Burgundy,Meursault,,Chardonnay,Xavier Monnot
965,New Zealand,"This is 100% barrel-fermented, which has left its mark on the wine. There's some crisp apple and citrus fruit flavors, but toast and butter notes play the starring role. It's a well-made, New World, oaky Chardonnay. Imported by South Pacific Wines.",,86,17.0,Hawke's Bay,,,Chardonnay,Crossroads
966,US,"This is winemaker Bill Fuller's 41st vintage, hence the designation. It's all Draper clone and spent 10 months in one-third new French oak. The opening aromas carry a volatile edge, then smooth out into fruit flavors of apple and pear. It's a good wine, but the impression of volatility does not entirely dissipate.",Vintage 41,89,40.0,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Willamette Valley Vineyards
967,US,"Basic, but gets the everyday red wine job done, with fruity berry, spice and smoke flavors. Easy to serve with meats, cheeses, pasta.",,84,15.0,California,Central Coast,Central Coast,Red Blend,TWODOG
968,France,"Lightweight, with more dryness than richness, this wine is lightly sweet, hinting at botrytis, with apple and cream flavors touched by honey.",,84,21.0,Bordeaux,Sauternes,,Bordeaux-style White Blend,Chais de Méribel
969,US,"If a whiff of volatility doesn't turn you off, this tightly layered reserve from Hogue has a lot going for it. Gobs of cherry and cassis fruit, dense and deep, roll into veins of earth, olive and graphite. A big wine with plenty of life ahead.",Reserve,91,30.0,Washington,Wahluke Slope,Columbia Valley,Cabernet Sauvignon,Hogue
970,Spain,"Timid but clean as a whistle on the nose, with apple and vanilla aromas along with a sprinkling of talcum powder. The palate is lively and fresh, with flavors of pineapple, lemon and other tropical hints. Entirely pedestrian as cava goes, but 100% clean and refreshing.",Artesanía Brut de Brut,87,11.0,Catalonia,Cava,,Sparkling Blend,Cavas Hill
971,Germany,"This is intriguingly scented stuff, with hints of honey, musk and truffles that come together harmoniously. The flavors run along similar veins, being complex and sweet without being obviously fruity; this is not a dry wine (28.9 g/L residual sugar). Finishes a bit soft; drink now.",Hattenheimer Wisselbrunnen Grosse Lage,88,66.0,Rheingau,,,Riesling,Baron Knyphausen
972,US,"A fabulously rich and approachable Pinot Noir that offers everything now, yet will also age. The considerable tannins will protect it in the cellar for a good 6–8 years, but it's so fresh and vibrant in cherries, red currants and oak-inspired red licorice that it's hard not to drink it now. Hard to exaggerate the deliciousness factor.",Southing,95,50.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Sea Smoke
973,France,"Chapuy's nonvintage blend is soft and creamy. It is full in the mouth, with almond, pear and orange peel flavors. The acidity of this relatively sweet wine is late to arrive but balanced once it emerges. Ready to drink.",Tradition Brut,87,32.0,Champagne,Champagne,,Champagne Blend,Chapuy
974,US,"This is a simple, sweet blush wine, with jammy raspberry, vanilla and white sugar flavors. With nice acidity, it will wash down salty, umami-flavored foods, like ham, sausages, roasted nuts, olives.",Rosato,84,16.0,California,Napa Valley,Napa,Rosé,Benessere
975,France,"Crisply light and fresh, this is a bright and clean wine. It's just touched by vanilla that goes well with the refreshing acidity. No complexity, just easy drinking. Screwcap.",Terres de Saint-Louis,86,11.0,Provence,Coteaux Varois en Provence,,Rosé,Estandon
976,US,"Made in the popular style, with rich, ripe pineapple jam and kiwi fruit flavors enhanced with the sweet vanillins of oak. A good Chardonnay at a fair price.",,84,14.0,California,California,California Other,Chardonnay,Murphy-Goode
977,US,"An atypical Rutherford Cabernet, being sweeter, jammier and more simple than you'd expect, especially at this price. Raspberries, cherries, cola and licorice are the flavors.",,85,60.0,California,Rutherford,Napa,Cabernet Sauvignon,Regale Winery and Vineyards
978,US,"Gainey's basic Santa Rita Chardonnay is a fine wine, dry, crisp and minerally, and this is a good price for it. It shows a nice mélange of oak influences with peach, pear and pineapple fruit flavors.",,88,20.0,California,Sta. Rita Hills,Central Coast,Chardonnay,Gainey
979,France,"91-93 Barrel sample. On the dry side, showing acidity, a bitter almond character, followed by spice, creamed apples and a dry final. A weighty wine, with an edge of acidity that is not quite in balance.",Barrel sample,92,,Bordeaux,Sauternes,,Bordeaux-style White Blend,Château Doisy-Védrines
980,France,"Classic ripe Muscadet, ripe but fresh, steely around the edges with delicious fresh fruits in the center. It is a lively wine, flavored with grapefruit and white currants, with an apple skin texture.",Sur Lie,88,16.0,Loire Valley,Muscadet Sèvre et Maine,,Melon,Domaine de la Grenaudière
981,France,"This wine is rich, rounded and smooth. It has enough citrus flavor to give a lift while also having ripe, apricot and red-apple tastes. Fresh at the end, it's also a wine to age, so drink from 2018.",,88,35.0,Loire Valley,Pouilly-Fumé,,Sauvignon Blanc,Domaine de la Loge
982,US,"Big, bold, dark and chewy, this builds upon substantial black-cherry fruit and supporting acids. Still knitting together, it shows highlights of cedar and tobacco, along with thick tannins. Give this a couple more years of bottle age, and drink after 2018.",Schindler Vineyard,91,50.0,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Panther Creek
983,France,"A wild blend of six grape varieties grown in the Loire, the Cognac region and south-west France. It hasn't helped to give character to what is a simple, easy wine, with some pleasant pear flavors and a soft aftertaste.",Brut,84,12.0,France Other,Vin Mousseux,,Sparkling Blend,Grandin
984,Germany,"Sweet and broad, with obvious spice, lychee and rose-petal aromatics but a disappointing lack of follow-through on the finish. It's good, but could use more vibrance and length.",Spätlese,84,17.0,Pfalz,,,Gewürztraminer,Fitz-Ritter
985,Italy,"This focused Rosso di Montefalco (Sangiovese, Merlot and Sagrantino) offers loads of sweet Christmas spice with black fruit, raspberry, tobacco and leather. Lungarotti purchased their Montefalco estate in 2003 and this wine represents the second year of production.",,90,35.0,Central Italy,Montefalco Rosso,,Red Blend,Lungarotti
986,US,"Dark, sappy and effusively scented with boysenberry and black cherry. It still has plenty of acid underscoring the fruit, a bit of burn in the back, but great aromas now developing secondary scents of tobacco and spice. Lewis is establishing itself as one of Washington's best Syrah vineyards.",Lewis Vineyard,91,30.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Januik Winery
987,US,"A block selection, this most rare offering from DDO has rippingly good aromatics, intense and complex, with dusty, dreamy spices wrapped around a seamless mix of berry, earth and herbal components. The somewhat gritty texture gives it muscle and length, and the overall complexity suggests it can age for up to a quarter century. Drink now through 2035.",Édition Limitée,96,85.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Domaine Drouhin Oregon
988,France,"50% Cabernet Sauvignon, 40% Merlot and 10% Grenache make this a flavorful and well structured Vin de Pays from the south of France. Fleshy in the mouth with ripe tannins, notes of black plum, blackberry, fennel and a hint of green pepper lead into the solid finish.",Cuvée Réservée,85,13.0,Languedoc-Roussillon,Vin de Pays des Coteaux de Bessilles,,Rhône-style Red Blend,Château Saint Martin de la Garrigue
989,Spain,"An unusual blend of Chardonnay, Sauvignon Blanc and Picapoll that hits with apple and melon aromas. The palate is soda-like, with zest, spritz and tangy lemon-lime and green apple flavors. Dry, pithy and a little strange in its flavor profile. Imported by Grapes of Spain.",Abadal Blanc,85,19.0,Catalonia,Pla de Bages,,White Blend,Masies d'Avinyo
